"name","type","classification","code","depot_name","district_name","region_name"
"STAPLEFORD 33/11","SUBSTATION","PRIMARY","U13","MUTARE ENVIRONS  DEPOT","MUTARE DISTRICT ","EASTERN REGION"
"NYANGA 33/11","SUBSTATION","PRIMARY","U23","NYANGA  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"MURAMBINDA 33/11","SUBSTATION","PRIMARY","U52","RUSAPE  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"ZAMBEZI RIVER PUMPS","SUBSTATION","PRIMARY","W8","HWANGE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"VICTORIA FALLS 2","SUBSTATION","PRIMARY","V2",NULL,"GWANDA DISTRICT","WESTERN REGION"
"VICTORIA FALLS 1","SUBSTATION","PRIMARY","V1",NULL,"GWANDA DISTRICT","WESTERN REGION"
"SPRINGS","SUBSTATION","PRIMARY","N2","NKETA DEPOT","BYO EAST DISTRICT ","WESTERN REGION"
"EHTE 33/11","SUBSTATION","PRIMARY","U30","NYANGA  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"CHIREDZI TOWN 33/11","SUBSTATION","PRIMARY","L1","CHIREDZI  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
"FLAMBOYANT S37 33/11","SUBSTATION","PRIMARY","S37",NULL,"MASVINGO DISTRICT ","EASTERN REGION"
"ODZI U6 33/11","SUBSTATION","PRIMARY","U6","MUTARE ENVIRONS  DEPOT","MUTARE DISTRICT ","EASTERN REGION"
"MARANGE 33/11","SUBSTATION","PRIMARY","U51","MUTARE ENVIRONS  DEPOT","MANICALAND DISTRICT ",NULL
"RUSAPE WEST 33/11","SUBSTATION","PRIMARY","U16","RUSAPE  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"TOKWE MUKORSI",NULL,"SUBSTATION","L17","CHIREDZI  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
"EMPRESS_33KV_S/S","DISTRIBUTION","PRIMARY","H9","KADOMA RURAL DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"TONGOGARA 33/11","SUBSTATION","PRIMARY","U40","MIDDLE SABI  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"QUEENS","SUBSTATION","PRIMARY","Q3","TURK MINE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"GWANDA","SUBSTATION","PRIMARY","J13","GWANDA DEPOT","GWANDA DISTRICT","WESTERN REGION"
"CENTENARY_33KVS.S","DISTRIBUTION","PRIMARY","M50","CENTENARY DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"CHEGUTU_88KV_S.S","POWER","PRIMARY","H19","CHEGUTU DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"BANKET_33KV_S.S","DISTRIBUTION","PRIMARY","M10","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"HERREN_HAUSEN","POWER","PRIMARY","M90",NULL,"KADOMA DISTRICT ","NORTHERN REGION"
"MAPAKWE_33KV_S.S","DISTRIBUTION","PRIMARY","M26","BINDURA DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"NORTON_330KV_S.S","POWER","PRIMARY","M32",NULL,"KADOMA DISTRICT ","NORTHERN REGION"
"ORANGE GROOVE 330KV","BULK SUPPLY POINT","PRIMARY","U35","MUTARE ENVIRONS  DEPOT","MUTARE DISTRICT ","EASTERN REGION"
"MUNYATI SWITCHING STATION","SWITCHING STATION","SWITCHING STATION","H6","KWEKWE URBAN DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"ZISCO SINTER PLANT 132","SUBSTATION","PRIMARY","H63-SR","REDCLIFF DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"RUSAPE33/11","SUBSTATION","PRIMARY","U8 ","RUSAPE  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"INDARAMA","SUBSTATION","PRIMARY","H87","KWEKWE URBAN DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"FELIXBURG","SUBSTATION","PRIMARY","G4","CHIVHU DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"URONGA_33KV_S.S","DISTRIBUTION","PRIMARY","M36","BINDURA DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"GONYE 33/11","SUBSTATION","PRIMARY","S40-ER","GUTU  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
"PARKROAD 132/33/11","SUBSTATION","PRIMARY","U11","MUTARE URBAN  DEPOT","MUTARE DISTRICT ","EASTERN REGION"
"CHIBUWE 33/11","SUBSTATION","PRIMARY","U41","MIDDLE SABI  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"LEOPARD","SUBSTATION","PRIMARY","H29","NKAYI DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"SILOBELA ","SUBSTATION","PRIMARY","H5","NKAYI DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"ALASKA_132KV_S.S","POWER","PRIMARY","M76","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"MATEPATEPA_33KVS.S","DISTRIBUTION","PRIMARY","M54","BINDURA DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"MT SELINDA 33/11","SUBSTATION","PRIMARY","U26","CHIPINGE  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"NYANYADZI 33/11","SUBSTATION","PRIMARY","U54","MIDDLE SABI  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"MASVINGO 33/11","SUBSTATION","PRIMARY","S10",NULL,"MASVINGO DISTRICT ","EASTERN REGION"
"FARMERS HALL 33/11","SUBSTATION","PRIMARY","S19","MASVINGO  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
"MAUNGANIDZE 33/11","SUBSTATION","PRIMARY","U55","MIDDLE SABI  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"GWERU LOCAL","SUBSTATION","PRIMARY","G7","GWERU URBAN DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"DUTCHMAN'S POOL","SUBSTATION","PRIMARY","H28","KWEKWE URBAN DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"LENDY_33KV_S.S","DISTRIBUTION","PRIMARY","M52","MARONDERA DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"RUZENDE 33/11","SUBSTATION","PRIMARY","U38","MUTARE ENVIRONS  DEPOT","MUTARE DISTRICT ","EASTERN REGION"
"CHIKANGA 33/11","SUBSTATION","PRIMARY","U68","MUTARE URBAN  DEPOT","MUTARE DISTRICT ","EASTERN REGION"
"CLEARWATER 33/11","SUBSTATION","PRIMARY","U45","CHIPINGE  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"REDCLIFF","SUBSTATION","PRIMARY","H3","REDCLIFF DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"FEATHERSTONE_33KV_S.S","DISTRIBUTION","PRIMARY","M107","BEATRICE DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
