budget_id,section_code,section,budget,allocated,withdrawn,balance,awaiting_sanctioning,period,region
953,524601,Waterfalls,Waterfalls-computer,77773.05715,46823.89517,30949.16198,0,2024,HARARE REGION
954,524601,Waterfalls,Waterfalls-office &furniture equip,82484.36142,64032.67716,18451.68426,0,2024,HARARE REGION
955,524601,Waterfalls,Waterfalls-motor vehicles,692273.2809,0,692273.2809,0,2024,HARARE REGION
956,524601,Waterfalls,Waterfalls-Category 1,806811.7322,0,806811.7322,0,2024,HARARE REGION
957,524601,Waterfalls,Waterfalls-Category 2,15170540.55,0,15170540.55,0,2024,HARARE REGION
958,524601,Waterfalls,Waterfalls-Major Distribution Maintenace Equipment,1981466.926,0,1981466.926,0,2024,HARARE REGION
959,524601,District Office,District Office -Motor  vehicle,96149.06679,0,96149.06679,0,2024,HARARE REGION
960,524601,District Office,District Office- computers,77773.05715,56458.09169,21314.96545,0,2024,HARARE REGION
961,524601,District Office,District Office -office &furniture,82484.36142,72981.24379,9503.117631,0,2024,HARARE REGION
962,524401,Chitungwiza,Zengeza- T&E,164074.9596,0,164074.9596,0,2024,HARARE REGION
963,524401,Chitungwiza,Zengeza-computer,77773.05715,0,77773.05715,0,2024,HARARE REGION
964,524401,Chitungwiza,Zengeza-office &furniture equip,82484.36142,0,82484.36142,0,2024,HARARE REGION
965,524401,Chitungwiza,Zengeza-motor vehicles,692273.2809,0,692273.2809,0,2024,HARARE REGION
966,524401,Chitungwiza,Zengeza-Category 2,547479.3897,0,547479.3897,0,2024,HARARE REGION
967,524401,Chitungwiza,Zengeza-Major Distribution Maintenace Equipment,1886334.897,0,1886334.897,0,2024,HARARE REGION
968,524401,Chitungwiza,Seke- T&E,164074.9596,0,164074.9596,2801.429626,2024,HARARE REGION
969,524401,Chitungwiza,Seke-computer,77773.05715,0.720367618,77772.33678,0,2024,HARARE REGION
970,524401,Chitungwiza,Seke-office &furniture equip,82484.36142,80040.84644,2443.514975,0,2024,HARARE REGION
971,524401,Chitungwiza,Seke-motor vehicles,692273.2809,0,692273.2809,0,2024,HARARE REGION
972,524401,Chitungwiza,Seke-Category 1,1171797.992,0,1171797.992,0,2024,HARARE REGION
973,524401,Chitungwiza,Seke-Category 2,1796116.594,0,1796116.594,0,2024,HARARE REGION
974,524401,Chitungwiza,Seke-Major Distribution Maintenace Equipment,1886334.897,0,1886334.897,0,2024,HARARE REGION
975,524401,Chitungwiza,District Office -Motor  vehicle,96149.06679,0,96149.06679,0,2024,HARARE REGION
976,524401,Chitungwiza,District Office- computers,77773.05715,16008.16929,61764.88786,0,2024,HARARE REGION
977,524401,Chitungwiza,District Office -office &furniture,82484.36142,30598.75276,51885.60866,0,2024,HARARE REGION
978,524101,Network Development,Projects-T&E,51045.53956,0,51045.53956,0,2024,HARARE REGION
979,524101,Network Development,Projects-computers,77773.05715,41385.92006,36387.13708,0,2024,HARARE REGION
980,524101,Network Development,Projects-office &furniture equip,82484.36142,72837.17026,9647.191155,0,2024,HARARE REGION
981,524101,Network Development,Projects-motor vehicles,576894.4008,0,576894.4008,0,2024,HARARE REGION
982,524101,Network Development,Projects-Category 1,20214621.85,0,20214621.85,0,2024,HARARE REGION
983,524101,Network Development,Projects-Category 3,51360210.14,113256.7488,51246953.39,0,2024,HARARE REGION
984,524301,Operation and Maintenance,OPS- T&E,328149.9191,60030.63483,268119.2843,0,2024,HARARE REGION
985,524301,Operation and Maintenance,OPS-computer,77773.05715,10005.10581,67767.95134,0,2024,HARARE REGION
986,524301,Operation and Maintenance,OPS-office &furniture equip,82484.36142,6003.063483,76481.29794,0,2024,HARARE REGION
987,524301,Operation and Maintenance,OPS-motor vehicles,923031.0412,0,923031.0412,0,2024,HARARE REGION
988,523001,Human Resources,HR-computer,77773.05715,11005.61639,66767.44076,0,2024,HARARE REGION
989,523001,Human Resources,HR-office &furniture equip,82484.36142,59230.22637,23254.13505,1800.919045,2024,HARARE REGION
990,523001,Human Resources,HR-motor vehicles,192298.1336,0,192298.1336,0,2024,HARARE REGION
991,523001,Human Resources,HR-L&B,1890344.521,504082.1448,1386262.376,4402.246554,2024,HARARE REGION
992,525000,Commercial,Commercial- T&E,51045.53956,0,51045.53956,0,2024,HARARE REGION
993,525000,Commercial,Commercial-computer,77773.05715,76886.19656,886.8605827,0,2024,HARARE REGION
994,525000,Commercial,Commercial-office &furniture equip,82484.36142,17568.96579,64915.39562,0,2024,HARARE REGION
995,525000,Commercial,Commercial-motor vehicles,288447.2004,0,288447.2004,0,2024,HARARE REGION
996,522001,Finance,Finance- T&E,51045.53956,4402.246554,46643.29301,0,2024,HARARE REGION
997,522001,Finance,Finance-computer,77773.05715,23955.7204,53817.33674,0,2024,HARARE REGION
998,522001,Finance,Finance-office &furniture equip,82484.36142,169.3056,82315.05582,0,2024,HARARE REGION
999,522001,Finance,Finance-motor vehicles,192298.1336,192098.0315,200.1021161,0,2024,HARARE REGION
1000,526001,Risk,Risk-computer,77773.05715,29346.97634,48426.0808,0,2024,HARARE REGION
1001,526001,Risk,Risk-office &furniture equip,82484.36142,2001.021161,80483.34026,0,2024,HARARE REGION
1002,526001,Risk,Risk-motor vehicles,192298.1336,0,192298.1336,0,2024,HARARE REGION
1003,526001,Risk,Risk-Category 3,7043594.487,135415.105,6908179.382,0,2024,HARARE REGION
1004,527001,IT,IT- T&E,51045.53956,33477.08403,17568.45553,0,2024,HARARE REGION
1005,527001,IT,IT-computer,77773.05715,38239.51439,39533.54276,0,2024,HARARE REGION
1006,527001,IT,IT-office &furniture equip,82484.36142,0,82484.36142,0,2024,HARARE REGION
1007,527001,IT,IT-motor vehicles,192298.1336,0,192298.1336,0,2024,HARARE REGION
1008,524001,EM,EM-computer,77773.05715,16412.95546,61360.10169,0,2024,HARARE REGION
1009,524001,EM,EM-office &furniture equip,82484.36142,40052.43956,42431.92186,0,2024,HARARE REGION
1010,524001,EM,EM-motor vehicles,96149.06679,0,96149.06679,0,2024,HARARE REGION
1011,521001,GM,GM-computer,77773.05715,0,77773.05715,0,2024,HARARE REGION
1012,521001,GM,GM-office &furniture equip,82484.36142,0,82484.36142,0,2024,HARARE REGION
1013,521001,GM,GM-motor vehicles,96149.06679,0,96149.06679,0,2024,HARARE REGION
