"id","document_id","item_id","item","required_qty","unit_of_measurement","rfq_no"
"3035","TD23112495","Item231124344","FERRULE SHEAR BOLTS 50-240MM2","100","each","10257538"
"3036","TD23112482","Item231124173","FERRULE SHEAR BOLTS 300MM2","100","each","10257537"
"3037","TD23112412","Item231124243","J-KITS TRANSITION 120-185MM2 11KV 3C","10","each","10256134"
"3038","TD23112439","Item231124641","SCOTCH TAPE ","50","each","10256135"
"3039","TD23112427","Item231124261","FUSE LUCY POLE UNIT ","24","each","10259328"
"3040","TD23112444","Item231124503","FUSE LUCY POLE UNIT ","24","each","10259328"
"3041","TD23112417","Item231124887","FUSE LUCY POLE UNIT ","30","each","10259149"
"3042","TD23112541","Item231125325","METAL KIOSK","1","each","10258830"
"3043","TD2311254","Item231125415","MV BOARD 6 WAY","1","each","10258516"
"3044","TD23112510","Item231125742","MV BOARD 6 WAY","1","each","10250435"
"3045","TD23112521","Item231125374","MV BOARD 8 WAY","1","each","10252838"
"3046","TD23112560","Item231125623","LUG CRIMPING 185MM X 12MM","500","each","102525549"
"3047","TD23112874","Item231128508","J/KIT 120-185MM2 11KV 3C XLPE","10","each","10258258"
"3048","TD23112874","Item231128911","J/KIT  120 - 185MM2 3C 11KV  PILC","10","each","10258258"
"3049","TD23112872","Item231128822","D-FUSE MOUNT & FUSE 11KV","60","each","10258383"
"3050","TD23112818","Item231128424","D-FUSE MOUNT & FUSE 11KV","24","each","10259150"
"3051","TD23112890","Item231128958","D-FUSE MOUNT & FUSE 11KV","200","each","10249022"
"3052","TD23112850","Item231128295","X-ARM STRAIN CHANNEL 100X50X3200MM","30","each","10257647"
"3053","TD23112850","Item231128856","3.8 MTS BOXED X-ARM","10","each","10257647"
"3054","TD23112862","Item231128617","STAY INSUL ","102","each","10250793"
"3055","TD23112862","Item231128128","SHACKLE INSUL","60","each","10250793"
"3056","TD23112883","Item23112847","FUSE LUCY POLE UNIT ","12","each","10250015"
"3057","TD23112883","Item231128996","D- FUSE MOUNT 11KV","12","each","10250015"
"3058","TD23112883","Item231128169","CHANNEL X-ARM","6","each","10250015"
"3059","TD23112832","Item23112877","JOINTING KIT 120-185MM2 3C 11KV XLPE","5","each","10257385"
"3060","TD23112832","Item231128118","JOINTING KIT 120-185MM2 3C 11KV PILC","5","each","10257385"
"3061","TD23112842","Item231128655","STRAP TWISTED SHACKLE ","30","each","10257574"
"3062","TD23112842","Item231128517","IRON D-SHACKLE","60","each","10257574"
"3063","TD23112842","Item23112863","SHACKLE INSUL","200","each","10257574"
"3064","TD23112842","Item231128406","EYE BOLT M16X280","150","each","10257574"
"3065","TD23112842","Item231128590","EYE BOLT M16X230","60","each","10257574"
"3066","TD23112880","Item231128753","D-IRON","30","each","10258315"
"3067","TD23112880","Item231128726","EYE BOLT M16X180","40","each","10258315"
"3068","TD23112880","Item231128165","EYE BOLT 280 X 16MM","16","each","10258315"
"3069","TD23112880","Item231128794","STRAP SHACKLE 16MM BOLT ","16","each","10258315"
"3070","TD23112880","Item231128252","INSUL SHACKLE","50","each","10258315"
"3071","TD23112879","Item231128404","D-IRON","50","each","10258507"
"3072","TD23112879","Item231128177","SHACKLE INSUL","50","each","10258507"
"3073","TD23112879","Item23112830","EYE BOLT 280 X 16MM","50","each","10258507"
"3074","TD23112879","Item231128581","EYE BOLT M16X300","50","each","10258507"
"3075","TD23112879","Item231128580","SHACKLE STRAP 16MM BOLTS","50","each","10258507"
"3076","TD23112879","Item231128772","STAY BOW 5/8","50","each","10258507"
"3077","TD23112879","Item231128208","STAY PLATE 5/8","50","each","10258507"
"3078","TD23112879","Item23112887","STAY ROD 5/8","50","each","10258507"
"3079","TD23112975","Item231129275","eye bolt M16 x 280 x 16mm","96","each","10257516"
"3080","TD23112975","Item231129999","eye bolt M16 X 180 X 16MM C/W NUT AND WASHER","110","each","10257516"
