,document_id,item_id,sup_id,status,message
542,D22111840,,,SUCCESS,SUCCESS
543,D22111840,,,SUCCESS,SUCCESS
544,D2211188,,,SUCCESS,SUCCESS
545,D2211188,,,SUCCESS,SUCCESS
546,D22112120,,,SUCCESS,SUCCESS
547,D22112120,,,SUCCESS,SUCCESS
548,D22112122,,,SUCCESS,SUCCESS
549,D22112122,,,SUCCESS,SUCCESS
550,D22112168,,,SUCCESS,SUCCESS
551,D22112168,,,SUCCESS,SUCCESS
552,D22112173,,,SUCCESS,SUCCESS
553,D22112173,,,SUCCESS,SUCCESS
554,D22112231,,,SUCCESS,SUCCESS
555,D22112231,,,SUCCESS,SUCCESS
556,D22112266,,,SUCCESS,SUCCESS
557,D22112266,,,SUCCESS,SUCCESS
558,D22112278,,,SUCCESS,SUCCESS
559,D22112278,,,SUCCESS,SUCCESS
560,D22112279,,,SUCCESS,SUCCESS
561,D22112279,,,SUCCESS,SUCCESS
562,D22112591,,,SUCCESS,SUCCESS
563,D22112591,,,SUCCESS,SUCCESS
564,D22120125,,,SUCCESS,SUCCESS
565,D22120125,,,SUCCESS,SUCCESS
566,D2212013,,,SUCCESS,SUCCESS
567,D2212013,,,SUCCESS,SUCCESS
568,D22120142,,,SUCCESS,SUCCESS
569,D22120142,,,SUCCESS,SUCCESS
570,D22120145,,,SUCCESS,SUCCESS
571,D22120145,,,SUCCESS,SUCCESS
572,D22120150,,,SUCCESS,SUCCESS
573,D22120150,,,SUCCESS,SUCCESS
574,D22120174,,,SUCCESS,SUCCESS
575,D22120174,,,SUCCESS,SUCCESS
576,D22120180,,,SUCCESS,SUCCESS
577,D22120180,,,SUCCESS,SUCCESS
578,D22120181,,,SUCCESS,SUCCESS
579,D22120181,,,SUCCESS,SUCCESS
580,D22120713,,,SUCCESS,SUCCESS
581,D22120713,,,SUCCESS,SUCCESS
582,D22121313,,,SUCCESS,SUCCESS
583,D22121313,,,SUCCESS,SUCCESS
584,D22121321,,,SUCCESS,SUCCESS
585,D22121321,,,SUCCESS,SUCCESS
586,D22121332,,,SUCCESS,SUCCESS
587,D22121332,,,SUCCESS,SUCCESS
588,D22121335,,,SUCCESS,SUCCESS
589,D22121335,,,SUCCESS,SUCCESS
590,D22121348,,,SUCCESS,SUCCESS
591,D22121348,,,SUCCESS,SUCCESS
592,D22121366,,,SUCCESS,SUCCESS
593,D22121366,,,SUCCESS,SUCCESS
594,D22121372,,,SUCCESS,SUCCESS
595,D22121372,,,SUCCESS,SUCCESS
596,D22121375,,,SUCCESS,SUCCESS
597,D22121375,,,SUCCESS,SUCCESS
598,D22121376,,,SUCCESS,SUCCESS
599,D22121376,,,SUCCESS,SUCCESS
600,D22121394,,,SUCCESS,SUCCESS
601,D22121394,,,SUCCESS,SUCCESS
602,D23012051,,,SUCCESS,SUCCESS
603,D23012051,,,SUCCESS,SUCCESS
604,D23012083,,,SUCCESS,SUCCESS
