"id","document_id","item_id","sup_id","unit_price","vat","quoted_qty","bid_no","quote_date","rfq_no","total","bid_document"
"226","TD2112137","Item21121311","SUP15","30000","excl","2","4","2021-12-06","10216732","530000","bids/Xerox Scan_09122021132653.PDF"
"227","TD2112137","Item211213112","SUP15","25000","excl","2","4","2021-12-06","10216732","530000","bids/Xerox Scan_09122021132653.PDF"
"228","TD2112137","Item211213356","SUP15","50000","excl","2","4","2021-12-06","10216732","530000","bids/Xerox Scan_09122021132653.PDF"
"229","TD2112137","Item211213296","SUP15","35000","excl","2","4","2021-12-06","10216732","530000","bids/Xerox Scan_09122021132653.PDF"
"230","TD2112137","Item211213922","SUP15","15000","excl","2","4","2021-12-06","10216732","530000","bids/Xerox Scan_09122021132653.PDF"
"231","TD2112137","Item211213669","SUP15","40000","excl","2","4","2021-12-06","10216732","530000","bids/Xerox Scan_09122021132653.PDF"
"232","TD2112137","Item211213429","SUP15","30000","excl","2","4","2021-12-06","10216732","530000","bids/Xerox Scan_09122021132653.PDF"
"233","TD2112137","Item211213385","SUP15","80000","excl","1","4","2021-12-06","10216732","530000","bids/Xerox Scan_09122021132653.PDF"
"234","TD2112137","Item21121311","SUP765","17000","excl","2","5","2021-12-06","10216732","855200","bids/Xerox Scan_09122021132718.PDF"
"235","TD2112137","Item211213112","SUP765","22000","excl","2","5","2021-12-06","10216732","855200","bids/Xerox Scan_09122021132718.PDF"
"236","TD2112137","Item211213356","SUP765","98700","excl","2","5","2021-12-06","10216732","855200","bids/Xerox Scan_09122021132718.PDF"
"237","TD2112137","Item211213296","SUP765","59000","excl","2","5","2021-12-06","10216732","855200","bids/Xerox Scan_09122021132718.PDF"
"238","TD2112137","Item211213922","SUP765","36000","excl","2","5","2021-12-06","10216732","855200","bids/Xerox Scan_09122021132718.PDF"
"239","TD2112137","Item211213669","SUP765","40900","excl","2","5","2021-12-06","10216732","855200","bids/Xerox Scan_09122021132718.PDF"
"240","TD2112137","Item211213429","SUP765","78000","excl","2","5","2021-12-06","10216732","855200","bids/Xerox Scan_09122021132718.PDF"
"241","TD2112137","Item211213385","SUP765","152000","excl","1","5","2021-12-06","10216732","855200","bids/Xerox Scan_09122021132718.PDF"
"242","TD2112137","Item21121311","SUP229","90000","excl","2","6","2021-12-06","10216732","899999","bids/Xerox Scan_09122021132901.PDF"
"243","TD2112137","Item211213112","SUP229","25312.5","excl","2","6","2021-12-06","10216732","899999","bids/Xerox Scan_09122021132901.PDF"
"244","TD2112137","Item211213356","SUP229","45000","excl","2","6","2021-12-06","10216732","899999","bids/Xerox Scan_09122021132901.PDF"
"245","TD2112137","Item211213296","SUP229","19687","excl","2","6","2021-12-06","10216732","899999","bids/Xerox Scan_09122021132901.PDF"
