"supplier","id","sup_id"
"POWER ZONE GLOBAL","2686","SUP588"
"CALTRON INVESTMENTS","2687","SUP16"
"RINGFAIR INTERNATIONAL","2690","SUP71"
"VALLEY DEPTH CONSTRUCTION","2695","SUP157"
"HADASSAH LYINMAC","2697","SUP89"
"BEAUTIFUL HEIGHTS","2698","SUP924"
"BOLTGAS INYERNTIONAL","2699","SUP879"
"ATTEAH INVESTMENTS ","2705","SUP749"
"CLEANSIT INVESTMENTS ","2709","SUP949"
"SCOTT ADAMS PVT LTD","2732","SUP258"
"ON-POINT SECURITY","2738","SUP110"
"SAFEMODE SECURITY","2740","SUP210"
"SEMI-MODETECH P/L","2749","SUP965"
"GLOWER INVESTMENTS","2760","SUP371"
"FROG CABLES","2761","SUP971"
"PISCES PROJECTS","2768","SUP1"
"NICKJO ELECTRICAL & HARDWARE","2769","SUP854"
"EUNIDAR INVESTMENTS","2778","SUP38"
"NOMRAS TRADING","2781","SUP997"
"FEMBRITE PVT LTD","2795","SUP506"
"SPORT VOLT ELECTRICAL ","2837","SUP436"
"TECHVIVID HOLDINGS","2847","SUP359"
"PREMOTRISH INVESTMENTS ","2863","SUP324"
"MUCHMUN PVT LTD","2865","SUP881"
"DESTAT PVT LTD","2885","SUP24"
"HOPFORD MARKETING ","2896","SUP90"
"ASHYOMATEC ENGINEERING & FOUNDRY","2920","SUP260"
"TECHNOID PVT LTD","2922","SUP406"
"RASAZI ENTERPRISES","2924","SUP261"
"WELMORE INTERGRATED SOLUTIONS","2927","SUP34"
"BRINELL ENGINEERING","2928","SUP792"
"WHALEWIND INVESTMENTS","2935","SUP730"
"CLAIRECHAIN AFRICA","2936","SUP481"
"TWINCON","2970","SUP560"
"PLENTHOPE  INVESTMENTS","2978","SUP162"
"SPACEAGE LEATHER CRAFT ","3034","SUP368"
"ELANFIELD TRADING","3039","SUP56"
"TSALAKI INVESTMENTS","3068","SUP70"
"WALL GREENS","3069","SUP852"
"GALACTUS INVESTMENTS","3070","SUP920"
"GRAPHICATE","3071","SUP187"
"PRONISH ENGINEERS","3074","SUP655"
"RAINBOW EYE CO.","3075","SUP962"
"FAMILY KRAAL","3078","SUP58"
"PREMIUMTEC INVESTMENTS","3090","SUP55"
"NEDLE TRAINING SERVICES","3101","SUP417"
"BUSINESS STANDARDS AND SYSTEMS CERTIFICATION","3102","SUP901"
"TM INDUSTRIAL PSYCHOLOGICAL SERVICES","3103","SUP927"
"TAFARNO PVT LTD ","3105","SUP555"
"BHUNUTON","3106","SUP284"
"BHUNUTON INVESTMENTS","3109","SUP444"
"ROCKSAIL TRADING PVT LTD","3123","SUP918"
"CHAMERN TRADING PVT LTD ","3126","SUP867"
"NORAMS TRADING","3198","SUP803"
"EXTRAVILLE","3219","SUP909"
"Connect Zimbabwe Institute of systemic Therapy","3232","SUP44"
"MULLACENT INVESTMENTS","3240","SUP917"
"afriq","3247","SUP197"
" MAX HAIVO ELECTRICAL","3248","SUP295"
"SUI GENERIS LABOUR SERVICE","3264","SUP280"
"DENMUC PRESS (PVT) LTD","3270","SUP291"
"DAAMS AFRICA","3277","SUP290"
"PRISM POWERBASE","3278","SUP935"
"SIBMAG INVESTMENTS","3280","SUP143"
"WERKSTATT SERVICE CENTRE","3281","SUP151"
"CHENESAI NYIKA","3300","SUP850"
"ULTIMATE FIRE PROTECTION","3304","SUP808"
"GOLDTOUCH ICT","3312","SUP13"
"BLAQ IMPRESSION MEDIAEDU","3345","SUP739"
"ARIT ADVERTISING","3346","SUP533"
"eSTYLE CORPORATE GIFTS AND BRANDING","3348","SUP77"
"INTERSIL INVESTMENTS","3359","SUP562"
"VONLET TRADING","3362","SUP674"
"MATOWE ENTERPRISES","3364","SUP643"
"DARESMA ENGINEERING","3371","SUP223"
"BRITA CHEMICAL","3378","SUP632"
