"document_id","item_required","qty","uom","id"
"RQ19110531","Till Rolls","150","each","1750"
"RQ19110564","80A toner cartridge","1","each","1751"
"RQ19110583","8.5 Litre ","4","each","1752"
"RQ19110569","8.5 Litre ","4","each","1753"
"RQ19110593","Roller brushes for water paint","3","each","1754"
"RQ19110593","Roller brushes for oil Paint","2","each","1755"
"RQ19110593","Roller brushes - 1 inch","2","each","1756"
"RQ19110593","roller brushes - 1 and half inch","3","each","1757"
"RQ19110593","roller brushes - 3 inch","2","each","1758"
"RQ19110593","Paint spray  small","1","each","1759"
"RQ19110593","Mutton Cloth","2","kgs","1760"
"RQ19110593","Putty Knife","1","each","1761"
"RQ19110593","Emery cloth - 220","3","each","1762"
"RQ19110593","Emery cloth -180","3","each","1763"
"RQ19110593","Emery cloth-120","3","each","1764"
"RQ19110593","Crack filler","4","kgs","1765"
"RQ19110593","Mineral turpentine","20","litres","1766"
"RQ19110593","Universal Tinter Archer/Yellow 50 ml","224","each","1767"
"RQ19110695","05A Toner Cartridge","1","each","1768"
"RQ19110619","05A Toner Cartridge","1","each","1769"
"RQ19110618","High Voltage Pulse Generator (Thumper) Including a Route Locator.","1","each","1770"
"RQ19110780","Standard door for mutare urban rest room","1","each","1771"
"RQ19110759","4.5 inch door frame for Mutare Urban Ladies rest room","1","each","1772"
"RQ19110720","BUILDING MATERIAL","8000","each","1773"
"RQ19110783","renovation materials","40","each","1774"
"RQ19111132","Winter Jerseys","32","each","1775"
"RQ19111124","Fan heaters","5","each","1776"
"RQ19111479","HEAVY DUTY BATTERIES","2","each","1777"
"RQ19111589","BATTERY size 650","1","each","1778"
"RQ19111546","HP 80A Toner catridge","1","each","1779"
"RQ19111531","HP 80A Toner catridge","1","each","1780"
"RQ19111586","80A toner cartridge","1","each","1781"
"RQ19111539","HP 80A Toner catridge","1","each","1782"
"RQ19111528","HP Probook 4530 battery","1","each","1783"
"RQ19111536","HP 80A Toner catridge","1","each","1784"
"RQ19111562","Pine Six Panel door for IT Entrance","1","each","1785"
"RQ19111597","Pine Six Panel door for IT Entrance","1","each","1786"
"RQ19111691","650mm Boltcutters for Nyanga csc","7","each","1787"
"RQ19111691","750mm Boltcutters for Nyanga csc","3","each","1788"
"RQ19111779","Water dispenser","2","each","1789"
"RQ19111768","Nylon Rope 20mm","600","metres","1790"
"RQ19111747","Construction of Standard Blair toilets","7","each","1791"
"RQ19111880","radiator","1","each","1792"
"RQ1911181","new battery size 650","1","each","1793"
"RQ1911181","front brake pads","1","each","1794"
"RQ19111855","upper control arms np300","2","each","1795"
"RQ19111855","front shocks","2","each","1796"
"RQ19111855","lower ball joints np300 2 wheel drive","2","each","1797"
"RQ19111850","oil filter z95","1","each","1798"
"RQ19111850","diesel filter z425","1","each","1799"
"RQ19111850","diesel filter z219","1","each","1800"
"RQ19111850","air filter ADG865","1","each","1801"
"RQ19111850","engine oil 7lts","1","each","1802"
"RQ19111850","degreaser 1ltr","1","each","1803"
"RQ19111850","wiper blades","2","each","1804"
"RQ19111846","battery size 650","1","each","1805"
"RQ1911184","battery size 650","1","each","1806"
"RQ19111875","new tyres size 215R15","5","each","1807"
"RQ19111813","lower ball joints","2","each","1808"
"RQ19111813","front brake pads","1","each","1809"
"RQ19111813","lift pump","1","each","1810"
"RQ19111813","front shock absorbers","2","each","1811"
"RQ19111813","wiper blades","2","each","1812"
"RQ19111813","battery terminals - heavy duty","2","each","1813"
"RQ19111811","245/70R16 new tyres","5","each","1814"
"RQ19111854","new battery size 650","1","each","1815"
"RQ19111854","heater plugs","4","each","1816"
"RQ19111854","oil filter","1","each","1817"
"RQ19111854","fuel filter E67","1","each","1818"
"RQ19111854","engine oil 5ltrs","1","each","1819"
"RQ19111837","new battery size 683","2","each","1820"
