"document_id","rfq_date","scope_of_work","closing_date","closing_time","rfq_no","advert","pr_number","pr_date","tender_opened","tac_date","region"
"TD23041150","2023-03-24","MV BOARD 8 WAY  STF 2999167 MABVUKU  S/S 776 WINGATE ON CB 69 HILLSIDE","2023-03-28","10:00","10244593","adverts/Xerox Scan_06042023141355.PDF","acc404088","2023-03-24","2023-03-28","2023-04-11","harare"
"TD23041152","2023-03-30","TRENCHING CB 179 WVALE CABLE FAULT  OVER EXISTING CABLE 20M NORMAL GROUND AND 4 JOINT HOLES","2023-03-30","10:00","10247087","adverts/Xerox Scan_06042023141525.PDF","acc404088","2023-03-30","2023-03-30","2023-04-11","harare"
"TD23041166","2023-03-29","JOINTING KITS 120-185MM2 XLPE REQUIRED FOR CBD REF STF 3029912","2023-03-31","10:00","10247000","adverts/Xerox Scan_06042023140944.PDF","acc404088","2023-03-29","2023-03-31","2023-04-11","harare"
"TD23041167","2023-03-27"," Purchase of  9 VOIP IP Handsets for North District","2023-03-30","10:00","10244898","adverts/Xerox Scan_06042023141641.PDF","acc404088","2023-03-27","2023-03-30","2023-04-11","harare"
"TD23041169","2023-04-05"," TRENCHING CB 69 MANICA  200M BTWN S/S 4237  & CB 29 MARKET SQUARE  CBD DEPOT","2023-04-06","10:00","10247239","adverts/Xerox Scan_06042023140650.PDF","acc404088","2023-04-05","2023-04-06","2023-04-11","harare"
"TD2304117","2023-03-30"," MV BOARD FOR KUWADZANA S/S 1140 MUGURU RD REF STF 2960834","2023-04-03","10:00","10242478","adverts/Xerox Scan_06042023142219.PDF","acc404088","2023-03-30","2023-04-03","2023-04-11","harare"
"TD23041173","2023-04-05","INSUL SHACKLE & D-IRON  REQUIRED FOR MABVUKU DEPOT REF STF 3024280","2023-04-11","10:00","10246738","adverts/Xerox Scan_11042023141249.PDF","acc404088","2023-04-05","2023-04-11","2023-04-11","harare"
"TD23041189","2023-03-30"," MV BOARD FOR  KUWADZANA S/S 1247 MUUNGA RD REF STF 2960837","2023-04-03","10:00","10242483","adverts/Xerox Scan_06042023142109.PDF","acc404088","2023-03-30","2023-04-03","2023-04-11","harare"
"TD2304119","2023-03-30"," TRENCHING CB 49 HIGHFIELD CABLE FAULT  OVER EXISTING CABLE 20M NORMAL GROUND AND 4 JOINT HOLES","2023-03-30","10:00","10247082","adverts/Xerox Scan_06042023141610.PDF","acc404088","2023-03-30","2023-03-30","2023-04-11","harare"
"TD23041192","2023-02-28","MV BOARD 8 WAY FOR STF 2960832 KUWADZANA S/S 1249 MURIRANYENZE","2023-03-28","10:00","10242477","adverts/Xerox Scan_06042023141740.PDF","acc404088","2023-03-24","2023-03-28","2023-04-03","harare"
"TD23041194","2023-03-30"," MV BOARD FOR KUWADZANA SS 2230 GAIREZI MARIMBA REF  STF 2960838","2023-04-03","10:00","10242484","adverts/Xerox Scan_06042023142003.PDF","acc404088","2023-03-30","2023-04-03","2023-04-11","harare"
"TD23041210","2023-04-04"," BOLTS AND NUTS GALV M12 X 40 CADIUM PLATED Manufacture of Zig Zag units TX workshops ref sf 3029408","2023-04-06","10:00","10246918","adverts/Xerox Scan_11042023112132.PDF","acc404085","2023-04-04","2023-04-06","2023-04-12","harare"
"TD23041214","2023-04-04"," CABLE PVC INSULATED 4C X 70 MM2 CU SWA  STF 2986024 KUWADZANA S/S 1196 CROWBROUGH WAY","2023-04-06","10:00","10243549","adverts/Xerox Scan_11042023111526.PDF","acc404085","2023-04-04","2023-04-06","2023-04-12","harare"
"TD23041215","2023-04-04"," FUSE LUCY POLE UNIT 400A 440V TYPE MCP FOR S/S 2659 MUFAKOSE REF STF 2988768  KUWADZANA","2023-04-06","10:00","10243871","adverts/Xerox Scan_11042023111658.PDF","acc404085","2023-04-04","2023-04-06","2023-04-12","harare"
"TD23041225","2023-03-29"," J-KITS 120-185MM2 11KV PILC REQUIRED FOR CBD REF STF 3029912 ","2023-03-31","10:00","10247001","adverts/Xerox Scan_12042023144802.PDF","acc404088","2023-03-29","2023-03-31","2023-04-12","harare"
"TD23041226","2023-04-04"," CABLE PVC INSULATED 4C X70MM2 CU SWA STF 2986019 KUWADZANA S/S 1140 MUTONDO","2023-04-06","10:00","10243552","adverts/Xerox Scan_11042023111855.PDF","acc404085","2023-04-04","2023-04-06","2023-04-12","harare"
"TD23041227","2023-04-04"," FUSE LUCY POLE UNIT 400A 440V TYPE MCP ","2023-04-06","10:00","10243869","adverts/Xerox Scan_11042023112005.PDF","acc404085","2023-04-04","2023-04-06","2023-04-12","harare"
"TD2304123","2023-03-30"," FUMIGATION OF COACKROACHES AND RODENTS AT CHITUNGWIZA DISTRICT OFFICES MAKONI AND ZENGEZA","2023-04-06","10:00","10246208","adverts/Xerox Scan_12042023135114.PDF","acc404110","2023-03-30","2023-04-06","2023-04-12","harare"
"TD23041265","2023-03-30"," REPAIR AND DO SEAT UPHOLSTERY FOR NISSAN NP300 SEATS WITH PADDED WATER PROOF  CANVAS MATERIAL","2023-04-06","10:00","10245903","adverts/1681306724Xerox Scan_12042023135359.PDF","acc473930","2023-03-30","2023-04-06","2023-04-12","harare"
"TD23041266","2023-03-29"," J-KITS 120-185MM2 11KV XLPE REQUIRED FOR CBD REF STF 3029912","2023-03-31","10:00","10247000","adverts/Xerox Scan_12042023144604.PDF","acc404088","2023-03-29","2023-03-31","2023-04-12",
"TD23041272","2023-03-29"," J-KITS 120-185MM2 11KV XLPE REQUIRED FOR CBD REF STF 3029912","2023-03-31","10:00","10247000","adverts/1681309990Xerox Scan_12042023144604.PDF","acc404088","2023-03-29","2023-03-31","2023-04-12","harare"
"TD23041298","2023-04-04"," FUSE LUCY POLE 400A 440V(TYPE MCP) STF 3026529 TRANSFORMER WORKSHOPS Manufacturing of zig zag units","2023-04-06","10:00","10246743","adverts/Xerox Scan_11042023111321.PDF","acc404085","2023-04-04","2023-04-06","2023-04-12","harare"
"TD23041299","2023-03-30"," REPAIR AND DO SEAT UPHOLSTERY FOR NISSAN NP300 SEATS WITH PADDED WATER PROOF  CANVAS MATERIAL","2023-04-06","10:00","10245903","adverts/1681305776Xerox Scan_12042023135359.PDF","acc473930","2023-03-30","2023-04-06","2023-04-12",
"TD23041346","2023-03-29"," J-KITS 120-185MM2 11KV PILC REQUIRED FOR CBD REF STF 3029912","2023-03-31","10:00","10247001","adverts/1681393148Xerox Scan_12042023144802.PDF","acc404088","2023-03-29","2023-03-31","2023-04-13","harare"
"TD23041366","2023-03-29"," PURCHASE OF 185MM 4C CU CABLE FOR CBD DEPOT","2023-03-31","10:00","10242738","adverts/Xerox Scan_13042023132215.PDF","acc404088","2023-04-13","2023-03-31","2023-04-13","harare"
"TD2304145","2023-03-29"," PURCHASE OF CABLE 120MM2 4CORE PVC/SWA 660V FOR CBD DEPOT","2023-03-31","10:00","10242738","adverts/Xerox Scan_14042023141651.PDF","acc404088","2023-04-14","2023-03-31","2023-04-14","harare"
"TD23042010","2023-04-14","PRINTING OF A5 BROCHURE ON GLOSS 24 PAGES","2023-04-20","10:00","10247277","adverts/1682000412Xerox Scan_20042023144014.PDF","acc466605","2023-04-14","2023-04-20","2023-04-20","harare"
"TD2304202","2023-04-19"," CB 99 MANICA S/S 1511 & 3180 TRENCHING CBD DEPOT","2023-04-20","10:00","10244637","adverts/Xerox Scan_20042023103043.PDF","acc404088","2023-04-20","2023-04-20","2023-04-20","harare"
"TD23042023","2023-04-14"," THERMAL TILL ROLLS 80*83*MM","2023-04-19","10:00","10242567","adverts/Xerox Scan_20042023111345.PDF","acc473010","2023-04-14","2023-04-19","2023-04-20","harare"
"TD23042034","2023-04-19"," CABLE RECOVERY SAMALEX COMPLEX CBD DEPOT","2023-04-20","10:00","10247756","adverts/Xerox Scan_20042023101717.PDF","acc404088","2023-04-20","2023-04-20","2023-04-20","harare"
"TD23042035","2023-04-19"," RECOVER CABLE FOR MSASA PARK CBD DEPOT","2023-04-20","10:00","10247683","adverts/Xerox Scan_20042023102454.PDF","acc404088","2023-04-20","2023-04-20","2023-04-20","harare"
"TD23042039","2023-04-19","CABLE RECOVERY CB 29 SENIORS FOR CB DEPOT","2023-04-20","10:00","10247682","adverts/Xerox Scan_20042023103504.PDF","acc404088","2023-04-20","2023-04-20","2023-04-20","harare"
"TD23042055","2023-04-14"," THERMAL TILL ROLLS 80*83*MM","2023-04-19","10:00","10242567","adverts/Xerox Scan_20042023152722.PDF","acc466605","2023-04-14","2023-04-19","2023-04-20","harare"
"TD23042060","2023-04-19"," RECOVER CABLE FOR MSASA PARK CBD DEPOT","2023-04-20","10:00","10247683","adverts/1681988706Xerox Scan_20042023102454.PDF","acc404088","2023-04-20","2023-04-20","2023-04-20","harare"
"TD23042079","2023-04-19"," CABLE TRENCHING S/S 14 CBD DEPOT","2023-04-20","10:00","10247684","adverts/Xerox Scan_20042023100409.PDF","acc404088","2023-04-20","2023-04-20","2023-04-20","harare"
"TD23042092","2023-04-14"," PRINTING OF A5 BROCHURE ON GLOSS 24 PAGES","2023-04-20","10:00","10247277","adverts/1681999996Xerox Scan_20042023144014.PDF","acc473010","2023-04-14","2023-04-20","2023-04-20","harare"
"TD2304287","2023-04-14"," REFUSE COLLECTION AT WYNNE STREET ","2023-04-21","10:00","10247191","adverts/Xerox Scan_28042023094238.PDF","acc474020","2023-04-14","2023-04-21","2023-04-28","harare"
