,document_id,sup_id,model,status,message
859,D22090147, ,DPApproval,Failed,GM DB finance_user empty
860,D22090167,ze281875,Committee,Success,SUCCESS
861,D22090167,ze309702,Committee,Success,SUCCESS
862,D22090167, ,DPApproval,Failed,DB finance_user empty
863,D22090167, ,DPApproval,Failed,GM DB finance_user empty
864,D22090188,ze281875,Committee,Success,SUCCESS
865,D22090188,ze309702,Committee,Success,SUCCESS
866,D22090188, ,DPApproval,Failed,DB finance_user empty
867,D22090188, ,DPApproval,Failed,GM DB finance_user empty
868,D22090582,ze281875,Committee,Success,SUCCESS
869,D22090582,ze309702,Committee,Success,SUCCESS
870,D22090582, ,DPApproval,Failed,DB finance_user empty
871,D22090582, ,DPApproval,Failed,GM DB finance_user empty
872,D22090621,ze293091,Committee,Success,SUCCESS
873,D22090621,ze309702,Committee,Success,SUCCESS
874,D22090621, ,DPApproval,Failed,DB finance_user empty
875,D22090621, ,DPApproval,Failed,GM DB finance_user empty
876,D22090628,ze293091,Committee,Success,SUCCESS
877,D22090628,ze309702,Committee,Success,SUCCESS
878,D22090628, ,DPApproval,Failed,DB finance_user empty
879,D22090628, ,DPApproval,Failed,GM DB finance_user empty
880,D22090911,ze293091,Committee,Success,SUCCESS
881,D22090911,ze309702,Committee,Success,SUCCESS
882,D22090911, ,DPApproval,Failed,DB finance_user empty
883,D22090911, ,DPApproval,Failed,GM DB finance_user empty
884,D22090916,ze293091,Committee,Success,SUCCESS
885,D22090916,ze309702,Committee,Success,SUCCESS
886,D22090916, ,DPApproval,Failed,DB finance_user empty
887,D22090916, ,DPApproval,Failed,GM DB finance_user empty
888,D22090919,ze281875,Committee,Success,SUCCESS
889,D22090919,ze309702,Committee,Success,SUCCESS
890,D22090919, ,DPApproval,Failed,DB finance_user empty
891,D22090919, ,DPApproval,Failed,GM DB finance_user empty
892,D22090942,ze281875,Committee,Success,SUCCESS
893,D22090942,ze309702,Committee,Success,SUCCESS
894,D22090942, ,DPApproval,Failed,DB finance_user empty
895,D22090942, ,DPApproval,Failed,GM DB finance_user empty
896,D2209096,ze293091,Committee,Success,SUCCESS
897,D2209096,ze309702,Committee,Success,SUCCESS
898,D2209096, ,DPApproval,Failed,DB finance_user empty
899,D2209096, ,DPApproval,Failed,GM DB finance_user empty
900,D22090978,ze281875,Committee,Success,SUCCESS
901,D22090978,ze309702,Committee,Success,SUCCESS
902,D22090978, ,DPApproval,Failed,DB finance_user empty
903,D22090978, ,DPApproval,Failed,GM DB finance_user empty
904,D22090989,ze281875,Committee,Success,SUCCESS
905,D22090989,ze309702,Committee,Success,SUCCESS
906,D22090989, ,DPApproval,Failed,DB finance_user empty
907,D22090989, ,DPApproval,Failed,GM DB finance_user empty
908,D22091218,ze293091,Committee,Success,SUCCESS
909,D22091218,ze309702,Committee,Success,SUCCESS
910,D22091218, ,DPApproval,Failed,DB finance_user empty
911,D22091218, ,DPApproval,Failed,GM DB finance_user empty
912,D22091224,ze293091,Committee,Success,SUCCESS
913,D22091224,ze309702,Committee,Success,SUCCESS
914,D22091224, ,DPApproval,Failed,DB finance_user empty
915,D22091224, ,DPApproval,Failed,GM DB finance_user empty
916,D22091250,ze293091,Committee,Success,SUCCESS
917,D22091250,ze309702,Committee,Success,SUCCESS
918,D22091250, ,DPApproval,Failed,DB finance_user empty
919,D22091250, ,DPApproval,Failed,GM DB finance_user empty
920,D22091492,ze293091,Committee,Success,SUCCESS
921,D22091492,ze309702,Committee,Success,SUCCESS
922,D22091492, ,DPApproval,Failed,DB finance_user empty
923,D22091492, ,DPApproval,Failed,GM DB finance_user empty
924,D22091613,ze281875,Committee,Success,SUCCESS
925,D22091613,ze309702,Committee,Success,SUCCESS
926,D22091613, ,DPApproval,Failed,DB finance_user empty
927,D22091613, ,DPApproval,Failed,GM DB finance_user empty
928,D22091680,ze281875,Committee,Success,SUCCESS
929,D22091680,ze309702,Committee,Success,SUCCESS
930,D22091680, ,DPApproval,Failed,DB finance_user empty
931,D22091680, ,DPApproval,Failed,GM DB finance_user empty
932,D22091955,ze293091,Committee,Success,SUCCESS
933,D22091955,ze309702,Committee,Success,SUCCESS
934,D22091955, ,DPApproval,Failed,DB finance_user empty
935,D22091955, ,DPApproval,Failed,GM DB finance_user empty
936,D22092610,ze281875,Committee,Success,SUCCESS
937,D22092610,ze309702,Committee,Success,SUCCESS
938,D22092610, ,DPApproval,Failed,DB finance_user empty
939,D22092610, ,DPApproval,Failed,GM DB finance_user empty
940,D22092623,ze281875,Committee,Success,SUCCESS
941,D22092623,ze309702,Committee,Success,SUCCESS
942,D22092623, ,DPApproval,Failed,DB finance_user empty
943,D22092623, ,DPApproval,Failed,GM DB finance_user empty
944,D22092640,ze281875,Committee,Success,SUCCESS
945,D22092640,ze309702,Committee,Success,SUCCESS
946,D22092640, ,DPApproval,Failed,DB finance_user empty
947,D22092640, ,DPApproval,Failed,GM DB finance_user empty
948,D22092643,ze281875,Committee,Success,SUCCESS
949,D22092643,ze309702,Committee,Success,SUCCESS
950,D22092643, ,DPApproval,Failed,DB finance_user empty
951,D22092643, ,DPApproval,Failed,GM DB finance_user empty
952,D22092652,ze281875,Committee,Success,SUCCESS
953,D22092652,ze309702,Committee,Success,SUCCESS
954,D22092652, ,DPApproval,Failed,DB finance_user empty
955,D22092652, ,DPApproval,Failed,GM DB finance_user empty
956,D22092657,ze281875,Committee,Success,SUCCESS
957,D22092657,ze309702,Committee,Success,SUCCESS
958,D22092657, ,DPApproval,Failed,DB finance_user empty
959,D22092657, ,DPApproval,Failed,GM DB finance_user empty
960,D22092665,ze281875,Committee,Success,SUCCESS
961,D22092665,ze309702,Committee,Success,SUCCESS
962,D22092665, ,DPApproval,Failed,DB finance_user empty
963,D22092665, ,DPApproval,Failed,GM DB finance_user empty
964,D22092667,ze281875,Committee,Success,SUCCESS
965,D22092667,ze309702,Committee,Success,SUCCESS
966,D22092667, ,DPApproval,Failed,DB finance_user empty
967,D22092667, ,DPApproval,Failed,GM DB finance_user empty
968,D22092668,ze281875,Committee,Success,SUCCESS
969,D22092668,ze309702,Committee,Success,SUCCESS
970,D22092668, ,DPApproval,Failed,DB finance_user empty
971,D22092668, ,DPApproval,Failed,GM DB finance_user empty
972,D22092674,ze281875,Committee,Success,SUCCESS
973,D22092674,ze309702,Committee,Success,SUCCESS
974,D22092674, ,DPApproval,Failed,DB finance_user empty
975,D22092674, ,DPApproval,Failed,GM DB finance_user empty
976,D22092675,ze281875,Committee,Success,SUCCESS
977,D22092675,ze309702,Committee,Success,SUCCESS
978,D22092675, ,DPApproval,Failed,DB finance_user empty
979,D22092675, ,DPApproval,Failed,GM DB finance_user empty
980,D22092683,ze281875,Committee,Success,SUCCESS
981,D22092683,ze309702,Committee,Success,SUCCESS
982,D22092683, ,DPApproval,Failed,DB finance_user empty
983,D22092683, ,DPApproval,Failed,GM DB finance_user empty
984,D22092693,ze281875,Committee,Success,SUCCESS
985,D22092693,ze309702,Committee,Success,SUCCESS
986,D22092693, ,DPApproval,Failed,DB finance_user empty
987,D22092693, ,DPApproval,Failed,GM DB finance_user empty
988,D22092710,ze293091,Committee,Success,SUCCESS
989,D22092710,ze309702,Committee,Success,SUCCESS
990,D22092710, ,DPApproval,Failed,DB finance_user empty
991,D22092710, ,DPApproval,Failed,GM DB finance_user empty
992,D2209277,ze293091,Committee,Success,SUCCESS
993,D2209277,ze309702,Committee,Success,SUCCESS
994,D2209277, ,DPApproval,Failed,DB finance_user empty
995,D2209277, ,DPApproval,Failed,GM DB finance_user empty
996,D22100498,ze281875,Committee,Success,SUCCESS
997,D22100498,ze309702,Committee,Success,SUCCESS
998,D22100498, ,DPApproval,Failed,DB finance_user empty
999,D22100498, ,DPApproval,Failed,GM DB finance_user empty
1000,D2210102,ze281875,Committee,Success,SUCCESS
1001,D2210102,ze309702,Committee,Success,SUCCESS
1002,D2210102, ,DPApproval,Failed,DB finance_user empty
1003,D2210102, ,DPApproval,Failed,GM DB finance_user empty
1004,D22101029,ze281875,Committee,Success,SUCCESS
1005,D22101029,ze309702,Committee,Success,SUCCESS
1006,D22101029, ,DPApproval,Failed,DB finance_user empty
1007,D22101029, ,DPApproval,Failed,GM DB finance_user empty
1008,D22101094,ze281875,Committee,Success,SUCCESS
1009,D22101094,ze309702,Committee,Success,SUCCESS
1010,D22101094, ,DPApproval,Failed,DB finance_user empty
1011,D22101094, ,DPApproval,Failed,GM DB finance_user empty
1012,D22101095,ze281875,Committee,Success,SUCCESS
1013,D22101095,ze309702,Committee,Success,SUCCESS
1014,D22101095, ,DPApproval,Failed,DB finance_user empty
1015,D22101095, ,DPApproval,Failed,GM DB finance_user empty
1016,D22101829,ze293091,Committee,Success,SUCCESS
1017,D22101829,ze309702,Committee,Success,SUCCESS
1018,D22101829, ,DPApproval,Failed,DB finance_user empty
1019,D22101829, ,DPApproval,Failed,GM DB finance_user empty
1020,D22101833,ze293091,Committee,Success,SUCCESS
1021,D22101833,ze309702,Committee,Success,SUCCESS
1022,D22101833, ,DPApproval,Failed,DB finance_user empty
1023,D22101833, ,DPApproval,Failed,GM DB finance_user empty
1024,D22101871,ze293091,Committee,Success,SUCCESS
1025,D22101871,ze309702,Committee,Success,SUCCESS
1026,D22101871, ,DPApproval,Failed,DB finance_user empty
1027,D22101871, ,DPApproval,Failed,GM DB finance_user empty
1028,D22101956,ze293091,Committee,Success,SUCCESS
1029,D22101956,ze309702,Committee,Success,SUCCESS
1030,D22101956, ,DPApproval,Failed,DB finance_user empty
1031,D22101956, ,DPApproval,Failed,GM DB finance_user empty
1032,D22102115,ze293091,Committee,Success,SUCCESS
1033,D22102115,ze309702,Committee,Success,SUCCESS
1034,D22102115, ,DPApproval,Failed,DB finance_user empty
1035,D22102115, ,DPApproval,Failed,GM DB finance_user empty
1036,D22102525,ze281875,Committee,Success,SUCCESS
1037,D22102525,ze309702,Committee,Success,SUCCESS
1038,D22102525, ,DPApproval,Failed,DB finance_user empty
1039,D22102525, ,DPApproval,Failed,GM DB finance_user empty
1040,D22102545,ze281875,Committee,Success,SUCCESS
1041,D22102545,ze309702,Committee,Success,SUCCESS
1042,D22102545, ,DPApproval,Failed,DB finance_user empty
1043,D22102545, ,DPApproval,Failed,GM DB finance_user empty
1044,D22102549,ze281875,Committee,Success,SUCCESS
1045,D22102549,ze309702,Committee,Success,SUCCESS
1046,D22102549, ,DPApproval,Failed,DB finance_user empty
1047,D22102549, ,DPApproval,Failed,GM DB finance_user empty
1048,D22102550,ze281875,Committee,Success,SUCCESS
1049,D22102550,ze309702,Committee,Success,SUCCESS
1050,D22102550, ,DPApproval,Failed,DB finance_user empty
1051,D22102550, ,DPApproval,Failed,GM DB finance_user empty
1052,D22102565,ze281875,Committee,Success,SUCCESS
1053,D22102565,ze309702,Committee,Success,SUCCESS
1054,D22102565, ,DPApproval,Failed,DB finance_user empty
1055,D22102565, ,DPApproval,Failed,GM DB finance_user empty
1056,D22102570,ze281875,Committee,Success,SUCCESS
1057,D22102570,ze309702,Committee,Success,SUCCESS
1058,D22102570, ,DPApproval,Failed,DB finance_user empty
1059,D22102570, ,DPApproval,Failed,GM DB finance_user empty
1060,D22102579,ze281875,Committee,Success,SUCCESS
1061,D22102579,ze309702,Committee,Success,SUCCESS
1062,D22102579, ,DPApproval,Failed,DB finance_user empty
1063,D22102579, ,DPApproval,Failed,GM DB finance_user empty
1064,D2210258,ze281875,Committee,Success,SUCCESS
1065,D2210258,ze309702,Committee,Success,SUCCESS
1066,D2210258, ,DPApproval,Failed,DB finance_user empty
1067,D2210258, ,DPApproval,Failed,GM DB finance_user empty
1068,D22102644,ze281875,Committee,Success,SUCCESS
1069,D22102644,ze309702,Committee,Success,SUCCESS
1070,D22102644, ,DPApproval,Failed,DB finance_user empty
1071,D22102644, ,DPApproval,Failed,GM DB finance_user empty
1072,D22103199,ze281875,Committee,Success,SUCCESS
1073,D22103199,ze309702,Committee,Success,SUCCESS
1074,D22103199, ,DPApproval,Failed,DB finance_user empty
1075,D22103199, ,DPApproval,Failed,GM DB finance_user empty
1076,D22110135,ze281875,Committee,Success,SUCCESS
1077,D22110135,ze309702,Committee,Success,SUCCESS
1078,D22110135, ,DPApproval,Failed,DB finance_user empty
1079,D22110135, ,DPApproval,Failed,GM DB finance_user empty
1080,D22111816,ze281875,Committee,Success,SUCCESS
1081,D22111816,ze309702,Committee,Success,SUCCESS
1082,D22111816, ,DPApproval,Failed,DB finance_user empty
1083,D22111816, ,DPApproval,Failed,GM DB finance_user empty
1084,D22111840,ze281875,Committee,Success,SUCCESS
1085,D22111840,ze309702,Committee,Success,SUCCESS
1086,D22111840, ,DPApproval,Failed,DB finance_user empty
1087,D22111840, ,DPApproval,Failed,GM DB finance_user empty
1088,D2211188,ze281875,Committee,Success,SUCCESS
1089,D2211188,ze309702,Committee,Success,SUCCESS
1090,D2211188, ,DPApproval,Failed,DB finance_user empty
1091,D2211188, ,DPApproval,Failed,GM DB finance_user empty
1092,D22112120,ze281875,Committee,Success,SUCCESS
1093,D22112120,ze309702,Committee,Success,SUCCESS
1094,D22112120, ,DPApproval,Failed,DB finance_user empty
1095,D22112120, ,DPApproval,Failed,GM DB finance_user empty
1096,D22112122,ze281875,Committee,Success,SUCCESS
1097,D22112122,ze309702,Committee,Success,SUCCESS
1098,D22112122, ,DPApproval,Failed,DB finance_user empty
1099,D22112122, ,DPApproval,Failed,GM DB finance_user empty
1100,D22112168,ze281875,Committee,Success,SUCCESS
1101,D22112168,ze309702,Committee,Success,SUCCESS
1102,D22112168, ,DPApproval,Failed,DB finance_user empty
1103,D22112168, ,DPApproval,Failed,GM DB finance_user empty
1104,D22112173,ze281875,Committee,Success,SUCCESS
1105,D22112173,ze309702,Committee,Success,SUCCESS
1106,D22112173, ,DPApproval,Failed,DB finance_user empty
1107,D22112173, ,DPApproval,Failed,GM DB finance_user empty
1108,D22112231,ze281875,Committee,Success,SUCCESS
1109,D22112231,ze309702,Committee,Success,SUCCESS
1110,D22112231, ,DPApproval,Failed,DB finance_user empty
1111,D22112231, ,DPApproval,Failed,GM DB finance_user empty
1112,D22112266,ze281875,Committee,Success,SUCCESS
1113,D22112266,ze309702,Committee,Success,SUCCESS
1114,D22112266, ,DPApproval,Failed,DB finance_user empty
1115,D22112266, ,DPApproval,Failed,GM DB finance_user empty
1116,D22112278,ze281875,Committee,Success,SUCCESS
1117,D22112278,ze309702,Committee,Success,SUCCESS
1118,D22112278, ,DPApproval,Failed,DB finance_user empty
1119,D22112278, ,DPApproval,Failed,GM DB finance_user empty
1120,D22112279,ze281875,Committee,Success,SUCCESS
1121,D22112279,ze309702,Committee,Success,SUCCESS
1122,D22112279, ,DPApproval,Failed,DB finance_user empty
1123,D22112279, ,DPApproval,Failed,GM DB finance_user empty
1124,D22112591,ze281875,Committee,Success,SUCCESS
1125,D22112591,ze309702,Committee,Success,SUCCESS
1126,D22112591, ,DPApproval,Failed,DB finance_user empty
1127,D22112591, ,DPApproval,Failed,GM DB finance_user empty
1128,D22120125,ze281875,Committee,Success,SUCCESS
1129,D22120125,ze309702,Committee,Success,SUCCESS
1130,D22120125, ,DPApproval,Failed,DB finance_user empty
1131,D22120125, ,DPApproval,Failed,GM DB finance_user empty
1132,D2212013,ze281875,Committee,Success,SUCCESS
1133,D2212013,ze309702,Committee,Success,SUCCESS
1134,D2212013, ,DPApproval,Failed,DB finance_user empty
1135,D2212013, ,DPApproval,Failed,GM DB finance_user empty
1136,D22120142,ze281875,Committee,Success,SUCCESS
1137,D22120142,ze309702,Committee,Success,SUCCESS
1138,D22120142, ,DPApproval,Failed,DB finance_user empty
1139,D22120142, ,DPApproval,Failed,GM DB finance_user empty
1140,D22120145,ze281875,Committee,Success,SUCCESS
1141,D22120145,ze309702,Committee,Success,SUCCESS
1142,D22120145, ,DPApproval,Failed,DB finance_user empty
1143,D22120145, ,DPApproval,Failed,GM DB finance_user empty
